Column1,Column10,Czech
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M,You are lacking sacrifices for that creature.,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M,To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M,The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F,,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M,You can't draw blood from a [v:0].,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F,,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M,You... can't sacrifice that.,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F,,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M,That isn't a worthy sacrifice.,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F,,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M,A [v:0] does not bleed.,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F,,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M,That will not suffice.,Derk
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_832_M,The bones of the ancient woman creaked and groaned as she approached.,Derk
SPECIAL_NODES_WOODCARVERINTRO_832_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_121_M,"With gently shaking hands, she placed her offerings before you.",Derk
SPECIAL_NODES_WOODCARVERINTRO_121_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M,The decrepit [c:bR]woodcarver[c:] appeared before you.,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M,She moved with a certain vigor in spite of her considerable age.,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M,You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F,,Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M,"After an overlong moment of silence, she moved to offer her carvings.",Derk
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M,[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M,[t:0.01]Wow...[w:0.1] Seriously?,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M,[t:0.01]Oh[w:0.2] come[w:0.2] on!,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M,Again...,Derk
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F,,Derk
TALKING_CARDS_STOATINTRO_856_M,You didn't sacrifice me?,Derk
TALKING_CARDS_STOATINTRO_856_F,,Derk
TALKING_CARDS_STOATINTRO_511_M,How kind.,Derk
TALKING_CARDS_STOATINTRO_511_F,,Derk
TALKING_CARDS_STOATINTRO_153_M,You sacrificed me.[w:0.2],Derk
TALKING_CARDS_STOATINTRO_153_F,,Derk
TALKING_CARDS_STOATINTRO_269_M,[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5],Derk
TALKING_CARDS_STOATINTRO_269_F,,Derk
TALKING_CARDS_STOATINTRO_140_M,[anim:sly]It was the right play.[w:0.2],Derk
TALKING_CARDS_STOATINTRO_140_F,,Derk
TALKING_CARDS_STOATINTRO_279_M,I get it.[w:0.2],Derk
TALKING_CARDS_STOATINTRO_279_F,,Derk
TALKING_CARDS_STOATINTRO_193_M,[anim:]Maybe...,Derk
TALKING_CARDS_STOATINTRO_193_F,,Derk
TALKING_CARDS_STOATINTRO_094_M,...you'll help me?[leshy:Take your turn.][w:2],Derk
TALKING_CARDS_STOATINTRO_094_F,,Derk
TALKING_CARDS_STOATINTRO_448_M,Play along for now.,Derk
TALKING_CARDS_STOATINTRO_448_F,,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M,What an honor.,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F,,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M,Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:],Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F,,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M,Fine choice.,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F,,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M,Another sigil...[w:0.2],Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F,,Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M,[anim:sly]Hooray...[anim:],Derk
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M,Hey.,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M,Pick me.,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M,I'll go.,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M,It's me.,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F,,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M,Your choice.,Derk
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M,You are lacking the Bones for that creature.,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M,You'll need more Bones to play that [c:bR][v:0][c:].,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M,You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M,That creature demands more Bones.,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_797_M,From the death of your creature you've gained a [c:bR]bone.[c:],Derk
TUTORIAL_TUTORIALBONESTOKEN_797_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_637_M,You will not lose this until it is spent... or the battle ends.,Derk
TUTORIAL_TUTORIALBONESTOKEN_637_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M,You've gained a [c:bR]bone.[c:],Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M,It will stay there until you spend it... or the battle ends.,Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M,That's a [c:bR]bone.[c:],Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F,,Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M,Yes... That's a [c:bR]bone.[c:],Derk
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F,,Derk
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M,[t:3]While I was asleep?,Derk
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F,,Derk
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M,[t:3]Again?,Derk
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M,Not now. Draw a card first.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M,Slow down. You will first need to draw a card.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M,One thing at a time. Draw first.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M,You may use that... after you have drawn your card for the turn.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F,,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M,You cannot draw a card on your first turn.,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F,,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M,No drawing on the first turn. Don't you have enough?,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F,,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M,"You may draw next turn. For now, make do.",Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F,,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M,I will not allow you to draw a card on the first turn.,Derk
