Column1;Column10;SAMPLE TEXT 1

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;Na to nemáš dostatek obětí.

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;Abys mohl zahrát kartu [c:bR][v:0][c:], budeš muset obětovat [c:bR][v:1] různých tvorů[c:].

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;[c:bR][v:0][c:] vyžaduje více krve, než kolik můžeš obětovat.

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;Z [v:0] krev nedostaneš.

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;To... nemůžeš obětovat.

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;To není dostatečná oběť.

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;[v:0] nemůže krvácet.

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;To nepostačí.

GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;

SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;Kosti prastaré ženy křupaly a skřípaly, jak se přibližovala.

SPECIAL_NODES_WOODCARVERINTRO_832_F;;

